emotion,video_link
Angry,https://www.youtube.com/watch?v=Zf2RGKYAc-0
Angry,https://www.youtube.com/watch?v=cZT4CBztzyk
Angry,https://www.youtube.com/watch?v=LtYONS9zw9M
Angry,https://www.youtube.com/watch?v=kN8769rGNKE
Angry,https://www.youtube.com/watch?v=T6rbWjEP06Q
Angry,https://www.youtube.com/watch?v=W98gcU4NuWQ
Angry,https://www.youtube.com/watch?v=4882Hi-TtHM
Angry,https://www.youtube.com/watch?v=2HNjMpxrK_k
Angry,https://www.youtube.com/watch?v=6KB5roLw8Ic
Angry,https://www.youtube.com/watch?v=g9C6IpYWJAU
Angry,https://www.youtube.com/watch?v=FsM8ftw94V4
Angry,https://www.youtube.com/watch?v=jRt_SqIMBgg
Fear,https://www.youtube.com/watch?v=paeiVkOyrQ0
Fear,https://www.youtube.com/watch?v=bZG4WkORQEY
Fear,https://www.youtube.com/watch?v=KXrujYbClRU
Fear,https://www.youtube.com/watch?v=S-polAFlVx8
Fear,https://www.youtube.com/watch?v=4R5fsdRoiZM
Fear,https://www.youtube.com/watch?v=jMycj2tuA0s
Fear,https://www.youtube.com/watch?v=oNdNShdDzyA
Fear,https://www.youtube.com/watch?v=H1N89nz5ieY
Fear,https://www.youtube.com/watch?v=6BB4CrS5RU8
Fear,https://www.youtube.com/watch?v=C7QvEpsnrtY
Fear,https://www.youtube.com/watch?v=bI_tP5pXmrk
Fear,https://www.youtube.com/watch?v=UAD-paiG9J4
Fear,https://www.youtube.com/watch?v=GgOfRsJuhL0
Fear,https://www.youtube.com/watch?v=0vXmehsfHhc
Fear,https://www.youtube.com/watch?v=6canh9eoxMo
Fear,https://www.youtube.com/watch?v=aDGzF0ygAWc
Fear,https://www.youtube.com/watch?v=Vd0eUnHDVJw
Fear,https://www.youtube.com/watch?v=1W8bmoK3ynQ
Fear,https://www.youtube.com/watch?v=UnP6xvALhC0
Fear,https://www.youtube.com/watch?v=OxeVWswquy8
Fear,https://www.youtube.com/watch?v=ld6KDemah_M
Fear,https://www.youtube.com/watch?v=0xz-VExojwI
Fear,https://www.youtube.com/watch?v=tdz-IRiQamA
Fear,https://www.youtube.com/watch?v=zOPYyq9RJr0
Fear,https://www.youtube.com/watch?v=eWC8NjS92-o
Fear,https://www.youtube.com/watch?v=gacoxPhDrJ0
Fear,https://www.youtube.com/watch?v=6RPYddhseEw
Fear,https://www.youtube.com/watch?v=6c5bZBeajWQ
Fear,https://www.youtube.com/watch?v=r3sGRcBOBJI
Fear,https://www.youtube.com/watch?v=lI3tyyizr2Y
Fear,https://www.youtube.com/watch?v=9qTiskKjr2A
Fear,https://www.youtube.com/watch?v=Sa-GQt6N2AU
Fear,https://www.youtube.com/watch?v=xx0TMwsSTVs
Fear,https://www.youtube.com/watch?v=kQfLKR3SX4I
